City,Country,City Number,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Ilulissat,GL,3423146,69.22,-51.1,5.0,45,0,17.22
Bathsheba,BB,3374083,13.22,-59.52,77.0,94,20,9.17
Punta Arenas,CL,3874787,-53.15,-70.92,46.4,65,75,29.97
Kapaa,US,5848280,22.08,-159.32,81.01,69,75,11.41
Tuktoyaktuk,CA,6170031,69.45,-133.04,14.0,85,90,28.86
Ushuaia,AR,3833367,-54.8,-68.3,44.6,65,75,8.84
Aklavik,CA,5882953,68.22,-135.01,1.4,84,75,4.7
East London,ZA,1006984,-33.02,27.91,64.98,74,0,4.41
Kiama,AU,2161515,-34.68,150.87,76.42,75,0,9.24
Ribeira Grande,PT,3372707,38.52,-28.7,64.69,86,100,15.19
Buta,CD,217570,2.79,24.73,68.38,96,63,0.51
Hermanus,ZA,3366880,-34.42,19.23,55.99,90,91,4.47
Kahului,US,5847411,20.89,-156.47,77.63,51,40,17.22
Sault Ste. Marie,CA,6141439,46.52,-84.33,36.91,74,1,12.75
Busselton,AU,2075265,-33.65,115.33,60.39,98,64,14.92
Leh,IN,1264976,34.17,77.58,26.19,75,75,5.32
Teotitlán,MX,3801145,18.13,-97.08,68.2,73,1,4.16
Albany,US,5106841,42.6,-73.97,36.34,64,0,6.38
Lebu,CL,3883457,-37.62,-73.65,52.25,74,0,18.5
Bredasdorp,ZA,1015776,-34.53,20.04,57.2,87,28,4.7
Grenville,GD,3580236,12.12,-61.62,78.8,88,20,12.33
Soligalich,RU,491025,59.08,42.29,31.3,98,100,4.36
Atuona,PF,4020109,-9.8,-139.03,77.63,77,96,15.43
Sitka,US,5557293,57.05,-135.33,37.4,86,90,6.93
Lavrentiya,RU,4031637,65.58,-171.0,19.89,88,100,9.1
Hilo,US,5855927,19.73,-155.09,74.7,65,1,4.7
Bereda,ES,3105522,43.27,-7.54,58.64,96,100,13.0
Hailin,CN,2037075,44.58,129.42,41.41,60,21,4.85
Jiazi,CN,1805935,22.88,116.07,69.28,73,92,12.06
Qaqortoq,GL,3420846,60.72,-46.03,15.8,66,0,13.87
Hasaki,JP,2112802,35.73,140.83,55.94,62,20,2.24
Tiksi,RU,2015306,71.69,128.87,-2.6,91,95,7.38
Castro,BR,3466704,-24.79,-50.01,65.19,87,1,4.07
São Filipe,CV,3374210,14.9,-24.5,79.77,66,100,8.01
Jamestown,US,5122534,42.1,-79.24,37.47,55,1,3.36
West Wendover,US,5710035,40.74,-114.07,42.8,28,1,1.23
Mackay,AU,2159220,-21.15,149.2,86.4,58,90,10.29
Lincoln,US,5072006,40.8,-96.67,51.03,61,75,3.36
Chui,UY,3443061,-33.7,-53.46,67.15,89,99,7.31
Mataura,NZ,6201424,-46.19,168.86,70.0,71,100,3.0
